doodID,category,tilesets,tilesetSpecific,file,comment,Name,doodClass,soundLoop,selSize,defScale,minScale,maxScale,canPlaceRandScale,useClickHelper,ignoreModelClick,maxPitch,maxRoll,visRadius,walkable,numVar,onCliffs,onWater,floats,shadow,showInFog,animInFog,fixedRot,pathTex,showInMM,useMMColor,MMRed,MMGreen,MMBlue,vertR01,vertG01,vertB01,vertR02,vertG02,vertB02,vertR03,vertG03,vertB03,vertR04,vertG04,vertB04,vertR05,vertG05,vertB05,vertR06,vertG06,vertB06,vertR07,vertG07,vertB07,vertR08,vertG08,vertB08,vertR09,vertG09,vertB09,vertR10,vertG10,vertB10,UserList,InBeta,version
AOla,E,A,0,Doodads\Ashenvale\Props\AshenLogAngled\AshenLogAngled,Angled Log,WESTRING_DOOD_AOLA,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\Log45.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
AOob,O,"C,O,K",0,Doodads\Ashenvale\Props\Obelisk\Obelisk,Glowing Obelisk,WESTRING_DOOD_AOGO,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,3,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
AOsk,O,A,0,Doodads\Ashenvale\Props\AshenObilisk\AshenObilisk,Obelisk,WESTRING_DOOD_AOOB,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
AObo,O,A,0,Doodads\Ashenvale\Props\AshenBrokenObilisk\AshenBrokenObilisk,Broken Obelisk,WESTRING_DOOD_NOBK,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,2,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
AOsr,O,*,0,Doodads\Ashenvale\Props\ScorchedRemains\ScorchedRemains,Scorched Remains,WESTRING_DOOD_AOSR,_,_,0,1,0.8,1.2,1,1,0,-,-,50,0,3,1,1,0,1,1,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
APbs,E,A,0,Doodads\Ashenvale\Plants\AshenBush0\AshenBush0,Bush,WESTRING_DOOD_APBS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\2x2Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
AWlp,W,A,0,Doodads\Ashenvale\Water\AshenLillyPad\AshenLillyPad,Lily Pads,WESTRING_DOOD_APLP,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,1,1,1,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
AWfl,W,A,0,Doodads\Ashenvale\Water\AshenvaleLilyPad\AshenvaleLilyPad,Floating Lily Pads,WESTRING_DOOD_LPFP,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,3,1,1,1,1,1,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
ARrk,E,A,0,Doodads\Ashenvale\Rocks\AshenRock\AshenRock,Rocks,WESTRING_DOOD_NRRK,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,10,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,1,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
ASbc,S,A,0,Doodads\Ashenvale\Structures\AshenBrokenColumn\AshenBrokenColumn,Broken Column,WESTRING_DOOD_ASBC,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,2,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
ASbr,S,A,0,Doodads\Ashenvale\Structures\AshenRubble\AshenRubble,Black Ruined Rubble,WESTRING_DOOD_ASBR,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,3,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
ASbl,S,A,0,Doodads\Ashenvale\Structures\AshenRuinsBlocks\AshenRuinsBlocks,Ruined Blocks,WESTRING_DOOD_ASBL,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\6x6Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
ASra,S,A,0,Doodads\Ashenvale\Structures\ARockArch\ARockArch,Archway,WESTRING_DOOD_ASRA,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\CityArch.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
ASr1,S,A,0,Doodads\Ashenvale\Structures\ARockArch45\ARockArch45,Archway,WESTRING_DOOD_ASR1,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\CityArch45.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
ASwt,Z,A,0,Doodads\Ashenvale\Structures\Worldtree\Worldtree,World Tree,WESTRING_DOOD_ASWT,_,_,1024,1,1,1,1,0,0,-,-,50,0,1,0,1,0,0,1,0,-1,PathTextures\24x24Unflyable.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,0,0
BPca,E,B,0,Doodads\Barrens\Plants\Cactus\Cactus,Cactus,WESTRING_DOOD_BPCA,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,10,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BObo,O,"B,O,K",0,Doodads\Barrens\Props\Barrens_Bones\Barrens_Bones,Bones,WESTRING_DOOD_BOBO,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,10,1,1,0,0,1,0,-1,PathTextures\4x4Unbuildable.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BOct,O,B,0,Doodads\Barrens\Props\CentaurTotem\CentaurTotem,Totem,WESTRING_DOOD_BOCT,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,3,1,1,0,1,1,0,-1,PathTextures\2x2Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BOth,O,B,0,Doodads\Barrens\Props\HellscreamThrone\HellscreamThrone,Throne,WESTRING_DOOD_YOTH,_,_,0,0.95,0.9,1,1,0,0,-,-,50,1,1,1,1,0,1,1,0,-1,none,1,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BOtt,O,B,0,Doodads\Barrens\Props\TaurenTotem\TaurenTotem,Totem,WESTRING_DOOD_BOTT,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,2,1,1,0,1,1,0,-1,PathTextures\2x2Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BRcr,E,B,0,Doodads\Barrens\Rocks\Crator\Crator,Crater,WESTRING_DOOD_BRCR,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,2,1,1,0,1,1,0,-1,PathTextures\12x12Default.tga,1,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BRfs,E,B,0,Doodads\Barrens\Rocks\BarrensFissure\BarrensFissure,Fissure,WESTRING_DOOD_BRFS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,2,1,1,0,1,1,0,-1,PathTextures\8x8Default.tga,1,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BRrk,E,B,0,Doodads\Barrens\Rocks\Barrens_Rocks\Barrens_Rocks,Rocks,WESTRING_DOOD_NRRK,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,10,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,1,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BRrp,E,B,0,Doodads\Barrens\Rocks\RockPillar\RockPillar,Pillar of Rock,WESTRING_DOOD_BRRP,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,3,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,1,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BRrs,E,B,0,Doodads\Barrens\Rocks\Barrens_Spires\Barrens_Spires,Rock Spires,WESTRING_DOOD_BRRS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,8,1,1,0,1,1,0,-1,PathTextures\LargeRockSpire.tga,1,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BRsp,E,B,0,Doodads\Barrens\Rocks\Barrens_Spires\Barrens_Spires,Small Rock Spires,WESTRING_DOOD_BRSP,_,_,0,0.36,0.8,1.2,1,0,0,-,-,0,0,8,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,1,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BRgs,E,B,0,Doodads\Barrens\Rocks\Geyser\Geyser,Geyser,WESTRING_DOOD_BRGS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,3,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BSar,S,B,0,Doodads\Barrens\Structures\RuinedArch\RuinedArch,Ruined Arch,WESTRING_DOOD_BSAR,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,3,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BSra,S,B,0,Doodads\Barrens\Structures\BRockArch\BRockArch,Archway,WESTRING_DOOD_BSRA,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\CityArch.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BSr1,S,B,0,Doodads\Barrens\Structures\BRockArch45\BRockArch45,Archway,WESTRING_DOOD_BSR1,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\CityArch45.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BSrc,S,B,0,Doodads\Barrens\Structures\RuinedChunk\RuinedChunk,Ruined Chunk,WESTRING_DOOD_BSRC,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,2,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BSrv,S,B,0,Doodads\Barrens\Structures\RuinedCurvedWall\RuinedCurvedWall,Ruined Curved Wall,WESTRING_DOOD_BSRV,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\4x8Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
BSrw,S,B,0,Doodads\Barrens\Structures\RuinedWall\RuinedWall,Ruined Wall,WESTRING_DOOD_BSRW,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
CObl,O,C,0,Environment\BlightDoodad\BlightDoodad,Blighted Mist,WESTRING_DOOD_COBL,_,_,0,1,0.8,1.2,1,0,0,-,-,50,1,1,1,1,0,0,0,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
COhs,E,C,0,Doodads\Felwood\Props\FelwoodHollowStump\FelwoodHollowStump,Hollow Stump,WESTRING_DOOD_APHS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
COlg,E,C,0,Doodads\Felwood\Props\FelwoodLogStraight\FelwoodLogStraight,Straight Log,WESTRING_DOOD_AOLG,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\12x6Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
COla,E,C,0,Doodads\Felwood\Props\FelwoodLogAngled\FelwoodLogAngled,Angled Log,WESTRING_DOOD_AOLA,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\12x6Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
COob,O,C,0,Doodads\Felwood\Props\FelwoodObilisk\FelwoodObilisk,Obelisk,WESTRING_DOOD_AOOB,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
CObo,O,C,0,Doodads\Felwood\Props\FelwoodBrokenObilisk\FelwoodBrokenObilisk,Broken Obelisk,WESTRING_DOOD_NOBK,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,2,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
CPbs,E,C,0,Doodads\Felwood\Plants\FelwoodBush\FelwoodBush,Bush,WESTRING_DOOD_YPBS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,2,1,1,0,1,1,0,-1,PathTextures\2x2Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
CPct,E,C,0,Doodads\Felwood\Plants\FelwoodCatTail\FelwoodCatTail,Cattail,WESTRING_DOOD_APCT,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\2x2Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
CPms,E,C,0,Doodads\Felwood\Plants\FelwoodShrooms\FelwoodShrooms,Mushrooms,WESTRING_DOOD_APMS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,4,1,1,0,1,1,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
CPlp,E,C,0,Doodads\Felwood\Plants\FelwoodLillyPad\FelwoodLillyPad,Lily Pad,WESTRING_DOOD_LPLP,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,1,0,1,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
CRfs,E,C,0,Doodads\Felwood\Rocks\FelwoodFissure\FelwoodFissure,Fissure,WESTRING_DOOD_BRFS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,2,1,1,0,1,1,0,-1,PathTextures\8x8Default.tga,1,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
CRrs,E,C,0,Doodads\Felwood\Rocks\Felwood_Spires\Felwood_Spires,Rock Spires,WESTRING_DOOD_BRRS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,8,1,1,0,1,1,0,-1,PathTextures\LargeRockSpire.tga,1,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
CSbc,S,C,0,Doodads\Felwood\Structures\FelwoodBrokenColumn\FelwoodBrokenColumn,Broken Column,WESTRING_DOOD_ASBC,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,2,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
CSbr,S,C,0,Doodads\Felwood\Structures\FelwoodRubble\FelwoodRubble,Black Ruined Rubble,WESTRING_DOOD_ASBR,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,3,1,1,0,1,1,0,-1,PathTextures\4x4Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
CSbl,S,C,0,Doodads\Felwood\Structures\FelwoodRuinsBlocks\FelwoodRuinsBlocks,Ruined Blocks,WESTRING_DOOD_ASBL,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\6x6Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
CSra,S,C,0,Doodads\Felwood\Structures\CRockArch\CRockArch,Archway,WESTRING_DOOD_YSAW,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\CityArch.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
CSr1,S,C,0,Doodads\Felwood\Structures\CRockArch45\CRockArch45,Angled Archway,WESTRING_DOOD_YSA1,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,1,1,0,-1,PathTextures\CityArch45.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
LPcr,E,"L,F,W,V,Q",0,Doodads\LordaeronSummer\Plants\Corn\Corn,Corn,WESTRING_DOOD_LPCR,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,0,1,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
LPfp,W,"L,F,W,V,Q",0,Doodads\LordaeronSummer\Plants\LilyPad\LilyPad,Floating Lily Pads,WESTRING_DOOD_LPFP,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,3,1,1,1,0,1,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
LPlp,E,"L,F,W,V,Q",0,Doodads\LordaeronSummer\Plants\LillyPad\LillyPad,Lilly Pad,WESTRING_DOOD_LPLP,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,1,0,1,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
LPrs,E,"L,F,W,V,Q",0,Doodads\LordaeronSummer\Plants\RiverRushes\RiverRushes,River Rushes,WESTRING_DOOD_LPRS,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,4,1,1,0,0,1,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
LPwb,E,"L,F,W,V,Q",0,Doodads\LordaeronSummer\Plants\WheatBunch\WheatBunch,Wheat Bunch,WESTRING_DOOD_LPWB,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,0,1,0,-1,PathTextures\2x2Default.tga,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
LPwh,E,"L,F,W,V,Q",0,Doodads\LordaeronSummer\Plants\Wheat\Wheat,Wheat,WESTRING_DOOD_LPWH,_,_,0,1,0.8,1.2,1,0,0,-,-,50,0,1,1,1,0,0,1,0,-1,none,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,,1,0
